Testkonfiguration;Iteration;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Gesamtkosten;Vorgabe des Mediators
ph1in14st2de4mh0ms0rand.req;2;65.41;88.0;350.18;489.85;640.2;1633.64;111111110111111111110111111111111111111101010110111101111110
ph1in15st3de4mh0ms0btlneck.req;1;166.72;196.0;2170.55;251.25;251.25;3035.77;100110000111100101101100111111111111110000000000110000000000
ph1in15st3de4mh0ms0btlneck.req;2;201.84;200.0;2143.6;251.25;251.25;3047.94;100100100011101100101001111111111111110000000000110000000000
ph1in15st3de4mh0ms0high.req;1;267.76;150.0;60.0;150.0;150.0;777.76;100100001100110111011110111110101111100111011110110100000100
ph1in15st3de4mh0ms0high.req;2;222.08;165.25;119.4;150.0;150.0;806.73;100110001100111100010100100010111111110011001111110111101101
ph1in15st3de4mh0ms0low.req;1;1166.96;1290.25;768.55;1290.25;1290.25;5806.26;111111111111111111111111111111111111111111111111111111111111
ph1in15st3de4mh0ms0low.req;2;1166.96;1290.25;768.55;1290.25;1290.25;5806.26;111111111111111111111111111111111111111111111111111111111111
ph1in15st3de4mh0ms0rand.req;1;187.17;465.4;277.84;534.75;693.1;2158.26;111111110111111110110110111111111110111011111011111111111110
ph1in15st3de4mh0ms0rand.req;2;184.0;467.2;251.99;537.05;693.25;2133.49;111111101111111111001101111111111111111011110101111111110111
ph1in16st4de4mh0ms0btlneck.req;1;361.6;168.0;2472.25;168.0;168.0;3337.85;100100000111101100001100111111111111111111001100111101000100
ph1in16st4de4mh0ms0btlneck.req;2;361.6;168.0;2472.25;168.0;168.0;3337.85;100100001111111110101100111111111111100111001100100100101100
ph1in16st4de4mh0ms0high.req;1;364.7;150.0;150.0;150.0;150.0;964.7;100100001100100100111110101110111111111110110110111101011101
ph1in16st4de4mh0ms0high.req;2;364.7;150.0;150.0;150.0;150.0;964.7;100100001100101110101100101111001101100100010111111110000111
ph1in16st4de4mh0ms0low.req;1;1688.7;1401.0;1486.25;1290.25;1481.25;7347.45;111111111111001111101111111100111001111111111111110111010101
ph1in16st4de4mh0ms0low.req;2;1688.7;1290.25;1290.25;1290.25;1290.25;6849.7;111111111111111111111111111111111111111111111111111111111111
ph1in16st4de4mh0ms0rand.req;1;308.42;694.8;618.95;431.35;431.75;2485.27;111111111111111110111111111111111101111101010110111011100110
ph1in16st4de4mh0ms0rand.req;2;324.72;697.05;615.7;445.9;422.95;2506.32;111111111101111111111101111111111110111110101100111010111011
ph1in17st1de5mh0ms0btlneck.req;1;29.46;53.14;1251.73;169.65;214.5;1718.48;100010111111100110101111111111111111110000000000100101111111
ph1in17st1de5mh0ms0btlneck.req;2;29.46;53.81;1251.73;154.8;228.5;1718.3;100010111111100110101110111111111111100100000001101111100001
ph1in17st1de5mh0ms0high.req;1;20.86;69.5;24.0;60.0;150.0;324.36;100101111000100001010010100011010100100111111001100011111110
ph1in17st1de5mh0ms0high.req;2;20.12;70.16;24.0;60.0;150.0;324.28;100011111000100001010011110111011000111101010010101111011101
ph1in17st1de5mh0ms0low.req;1;665.96;337.47;423.88;678.07;1348.25;3453.63;111111111100111111111101111111111110111111111101111111111110
ph1in17st1de5mh0ms0low.req;2;665.96;337.47;423.88;678.07;1348.25;3453.63;111111111100111111111101111111111100111111111101111111111110
ph1in17st1de5mh0ms0rand.req;1;216.86;338.11;201.44;309.49;623.5;1689.4;111111111100111111111111111011100001111011100100111111111000
ph1in17st1de5mh0ms0rand.req;2;216.86;338.11;181.61;322.83;632.3;1691.71;111111111100111111111110111101101011111101110000110111111001
ph1in18st2de5mh0ms0btlneck.req;1;59.13;101.71;2502.75;264.0;265.5;3193.09;100010111100101010101101111111111111100010000011100001000010
ph1in18st2de5mh0ms0btlneck.req;2;59.67;109.71;2484.25;268.0;266.0;3187.63;100010111101100010101101111111111110100100000001100010000000
ph1in18st2de5mh0ms0high.req;1;71.9;103.86;60.0;150.0;150.0;535.76;100011011000100001010110111011010101110101111111100111111100
ph1in18st2de5mh0ms0high.req;2;73.23;102.65;60.0;150.0;150.0;535.88;100101011000100011010100100101011011110001011001101101110101
ph1in18st2de5mh0ms0low.req;1;1231.44;666.19;896.15;1348.25;1348.25;5490.28;111111111111111111111100111111111101111111111101111111111101
ph1in18st2de5mh0ms0low.req;2;1230.9;663.77;896.15;1348.25;1348.25;5487.32;111111111100111111111110111111111100111111111111111111111110
ph1in18st2de5mh0ms0rand.req;1;385.92;158.31;217.6;813.7;575.95;2151.48;111111111100111111111100111111111010111111111000111111111101
ph1in18st2de5mh0ms0rand.req;2;385.92;158.31;216.74;805.0;606.9;2172.87;111111111100111111111100111110111011111111111110111110111111
ph1in19st3de5mh0ms0btlneck.req;1;100.8;224.0;2558.85;265.5;264.0;3413.15;100010111100101110110000111111111100100001000010100010000000
ph1in19st3de5mh0ms0btlneck.req;2;182.56;202.5;2502.75;264.0;265.5;3417.31;100010101100100011111001111111111101100010000000100100000010
ph1in19st3de5mh0ms0high.req;1;214.08;150.0;60.0;150.0;150.0;724.08;100001010000111011111100100101011100111001010100100001010110
ph1in19st3de5mh0ms0high.req;2;214.08;150.0;60.0;150.0;150.0;724.08;100001010000101101011010111001011001100011011011110011010110
ph1in19st3de5mh0ms0low.req;1;1714.32;1348.25;896.15;1348.25;1348.25;6655.22;111111111100111111111111111111111101111111111101111111111111
ph1in19st3de5mh0ms0low.req;2;1714.32;1348.25;896.15;1348.25;1348.25;6655.22;111111111100111111111111111111111111111111111100111111111110
ph1in19st3de5mh0ms0rand.req;1;1170.0;481.2;919.82;773.4;576.55;3920.97;111111111100110110001011111111111110111100101011100110100001
ph1in19st3de5mh0ms0rand.req;2;1170.0;488.75;919.82;775.7;583.5;3937.77;111111111100111100010000111111111110110101110001110100101011
ph1in20st4de5mh0ms0btlneck.req;1;273.8;202.5;2652.25;202.5;202.5;3533.55;100001101100100101101011111111111101100001111010101111111011
ph1in20st4de5mh0ms0btlneck.req;2;273.8;202.5;2652.25;202.5;202.5;3533.55;100001101100100101111011111111111101110011101001111101101011
ph1in20st4de5mh0ms0high.req;1;297.6;150.0;150.0;150.0;150.0;897.6;100001010000101011011000110101111001111011110001100111110000
ph1in20st4de5mh0ms0high.req;2;297.6;150.0;150.0;150.0;150.0;897.6;100001010000110101011010110101011010101111011100101011110001
ph1in20st4de5mh0ms0low.req;1;2372.9;1348.25;1348.25;1348.25;1348.25;7765.9;111111111100111111111111111111111100111111111110111111111100
ph1in20st4de5mh0ms0low.req;2;2372.9;1348.25;1348.25;1348.25;1348.25;7765.9;111111111100111111111111111111111100111111111101111111111110
ph1in20st4de5mh0ms0rand.req;1;1818.58;637.45;1160.3;563.5;650.6;4830.43;111111111100101101011001111111111101110110101000111011010010
