Testkonfiguration;Iteration;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Gesamtkosten;Vorgabe des Mediators
ph1in17st1de5mh0ms0rand.req;2;362.39;266.91;181.61;326.19;796.65;1933.75;110010111100111111111101111011011000111110111111010110000100
ph1in18st2de5mh0ms0btlneck.req;1;33.46;450.66;3302.45;200.5;200.5;4187.57;110111111100010101000010100000000010101010101111100011110011
ph1in18st2de5mh0ms0btlneck.req;2;38.91;91.42;3631.9;200.5;200.5;4163.23;101101111100000101011011100000000000100011101001101101000011
ph1in18st2de5mh0ms0high.req;1;131.26;49.41;60.0;150.0;150.0;540.67;001001010000100011111001110101111101110101110001110011011001
ph1in18st2de5mh0ms0high.req;2;99.73;315.61;60.0;150.0;150.0;775.34;000110101011100101000000100101011111101111101010100111110100
ph1in18st2de5mh0ms0low.req;1;1230.9;743.02;990.2;1461.5;1386.0;5811.62;111111111100011111111110111101111101010110111100111111011101
ph1in18st2de5mh0ms0low.req;2;1230.9;663.77;896.15;1443.75;1398.5;5633.07;111111111100111111111101111111111101111101101110111111101110
ph1in18st2de5mh0ms0rand.req;1;436.5;228.37;257.53;780.0;643.4;2345.8;111111111011110111111110111101111000111111111001001111101011
ph1in18st2de5mh0ms0rand.req;2;453.67;199.58;248.86;850.25;626.5;2378.86;111011111111111101111100111010111000011110111010111101011011
ph1in19st3de5mh0ms0btlneck.req;1;954.16;150.0;3138.0;200.5;200.5;4643.16;010010000000110110101111100000001001101000011100100000100111
ph1in19st3de5mh0ms0btlneck.req;2;1041.28;150.0;3050.0;200.5;200.5;4642.28;111000000000111101010110100110101101101101010010100000101100
ph1in19st3de5mh0ms0high.req;1;460.48;150.0;115.0;150.0;150.0;1025.48;100011000000101011110110100101110000100101111111100111100000
ph1in19st3de5mh0ms0high.req;2;284.48;150.0;60.0;150.0;150.0;794.48;100010010000100010011001100011010001111010011100101111110101
ph1in19st3de5mh0ms0low.req;1;1714.32;1582.0;896.15;1348.25;1401.0;6941.72;111111111100010011001110111111111110111111111101111111110100
ph1in19st3de5mh0ms0low.req;2;1714.32;1484.0;896.15;1453.75;1348.25;6896.47;111111111100011011111000111111111100111111100100111111111110
ph1in19st3de5mh0ms0rand.req;1;1170.0;515.6;1035.87;825.5;612.85;4159.82;111111111100101001100010111111110110111011110000111100000101
ph1in19st3de5mh0ms0rand.req;2;1514.78;539.5;1013.76;823.1;603.9;4495.04;000111111100000110100001111111110101111011100110101011010000
ph1in20st4de5mh0ms0btlneck.req;1;694.7;150.0;2888.25;150.0;150.0;4032.95;000001100000100011110000110100110100101001100110111111110100
ph1in20st4de5mh0ms0btlneck.req;2;803.6;150.0;2734.75;150.0;150.0;3988.35;101000010000111101110011110110111001101000011100101010110011
ph1in20st4de5mh0ms0high.req;1;628.7;150.0;150.0;150.0;175.0;1253.7;000100100000110101110100111111110010100111101110101111000000
ph1in20st4de5mh0ms0high.req;2;518.7;150.0;150.0;150.0;175.0;1143.7;000010100000111011111110101110111111101110111110101100110000
